id,year,imdb_id,title,rating
5435,1906,0000554,Humorous Phases of Funny Faces,0
5603,1906,0135122,The Hilarious Posters,0
5684,1906,0000567,The 400 Tricks of the Devil,0
6206,1906,0449172,A Funny Shave,0
7215,1906,1260944,The Consequence of Feminism,0
5223,1907,0215737,The Eclipse: Courtship of the Sun and Moon,0
5615,1907,0215817,Good Glue Sticks,0
6231,1908,1802750,Unusual Cooking,0
4409,1909,0001009,The Princess Nicotine; or Smoke Fairy,2
5635,1909,0127948,The Devilish Tenant,0
6211,1909,0277596,Le barometre de la fidelite,1
1464,1910,0232821,Tilly the Tomboy Visits the Poor,3
4983,1910,0486978,Mobilier fidele,0
5685,1910,1515725,A Trip to Mars,0
2003,1912,0002101,Cleopatra,2
2005,1912,0002281,The Invaders,0
5357,1912,0277865,Max and the Donkey,0
5364,1913,0003512,The Voyage of the Bourrichon Family,0
5915,1913,0003424,Suspense,0
4457,1914,0003973,A Florida Enchantment,2
1258,1915,0004972,The Birth of a Nation,2
2008,1916,0006745,Gretchen the Greenhorn,3
2014,1916,0279914,Lady Windermere's Fan,3
5368,1916,0007507,The Vagabond,0
5944,1916,0006864,Intolerance: Love's Struggle Throughout the Ages,0
7004,1916,0007361,Snow White,3
1981,1917,0008652,A Tale of Two Cities,3
1993,1917,0008499,Rebecca of Sunnybrook Farm,3
1994,1917,0008443,The Poor Little Rich Girl,3
2015,1917,0008519,A Romance of the Redwoods,0
2019,1917,0008489,"Raffles, the Amateur Cracksman",2
1996,1918,0009682,Tarzan of the Apes,3
2007,1918,0009652,Stella Maris,3
5441,1918,0008844,Are Crooks Dishonest?,0
7108,1918,0010281,Ich mochte kein Mann sein,3
2018,1919,0010879,When the Clouds Roll by,3
2588,1919,0009968,Broken Blossoms or The Yellow Man and the Girl,0
1306,1920,0010323,The Cabinet of Dr. Caligari,0
1991,1920,0011588,Pollyanna,3
5948,1920,0011870,Within Our Gates,3
1263,1921,0012532,Orphans of the Storm,3
3945,1921,0012349,The Kid,0
4204,1921,0011979,The Blot,3
5898,1921,0012364,K&ouml;rkarlen (The Phantom Carriage),2
1307,1922,0013442,"Nosferatu, eine Symphonie des Grauens",2
1631,1922,0013496,The Phantom,2
1778,1922,0013428,Nathan der Weise,2
2001,1922,0013367,The Man from Beyond,1
3800,1922,0013257,H&auml;xan: Witchcraft Through the Ages,3
5361,1922,0012543,The Paleface,0
5901,1922,0013427,Nanook of the North,1
5958,1922,0013140,Foolish Wives,3
5967,1922,0013086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",3
1961,1923,0014429,Safety Last!,0
1967,1923,0014611,Why Worry?,0
1998,1923,0014469,The Silent Command,2
5888,1923,0013626,La souriante Madame Beudet,3
5949,1923,0014341,Our Hospitality,0
8947,1923,0014624,A Woman of Paris,2
1337,1924,0015175,Die Nibelungen,2
1338,1924,0015174,Kriemhild's Revenge,2
1264,1924,0015400,The Thief of Bagdad,0
1960,1924,0015498,Wild Oranges,0
2009,1924,0015163,The Navigator,0
2011,1924,0015324,Sherlock Jr.,0
2016,1924,0014945,Girl Shy,0
2020,1924,0015116,Manhandled,3
2413,1924,1764657,The Great White Silence,0
6209,1924,0013845,Help!,0
8458,1924,0015881,Greed,3
1305,1925,0016220,The Phantom of the Opera,2
1308,1925,0015648,Battleship Potemkin,0
1309,1925,0015864,The Gold Rush,0
1978,1925,0015863,Go West,0
2012,1925,0015841,The Freshman,0
3077,1925,0016332,Seven Chances,0
5514,1925,0016039,The Lost World,2
5962,1925,0015624,The Big Parade,2
5991,1925,0015361,Stachka,0
1334,1926,0017449,The Temptress,1
1260,1926,0016884,Flesh and the Devil,1
1310,1926,0017925,The General,0
1966,1926,0016895,For Heaven's Sake,0
3217,1926,0017410,So's Your Old Man,3
5974,1926,0015532,Die Abenteuer des Prinzen Achmed,1
1227,1927,0018033,It,3
1267,1927,0017136,Metropolis,1
1312,1927,0018192,Abel Gance's Napoleon,2
1311,1927,0018528,The Unknown,0
1632,1927,0018455,Sunrise: A Song of Two Humans,2
1964,1927,0018051,The Kid Brother,0
1982,1927,0018199,Nevada,0
2010,1927,0018183,My Best Girl,3
3118,1927,0018578,Wings,1
5975,1927,0018037,The Jazz Singer,1
7324,1927,0017825,Downhill [When Boys Leave Home],1
1314,1928,0019254,The Passion of Joan of Arc,0
1963,1928,0019412,Speedy,0
1968,1928,0018773,The Circus,0
1970,1928,0018742,The Cameraman,0
1971,1928,0019421,"Steamboat Bill, Jr.",0
1972,1928,0019304,The Racket,0
1977,1928,0018684,Beggars of Life,0
1979,1928,0019290,The Power of the Press,1
1980,1928,0018937,A Girl in Every Port,0
2013,1928,0019258,The Patsy,3
2017,1928,0019571,While the City Sleeps,2
2021,1928,0019130,The Man Who Laughs,2
5912,1928,0018806,The Crowd,1
5984,1928,0018839,The Docks of New York,2
9314,1928,0019237,Our Dancing Daughters,2
1313,1929,0020530,Un chien andalou,0
1953,1929,0019777,The Cocoanuts,2
1962,1929,0020572,Welcome Danger,0
2324,1929,0018737,Pandora's Box (Die B&uuml;chse der Pandora),3
3897,1929,0019760,Man with a Movie Camera,0
5979,1929,0019702,Blackmail,2
6046,1929,0020286,Throw of the Dice,0
7287,1929,0021015,Juno and the Paycock [The Shame of Mary Boyle],3
8464,1929,0019729,Broadway Melody,3
1315,1930,0020697,The Blue Angel,1
1316,1930,0020629,All Quiet on the Western Front,0
1326,1930,0020641,Anna Christie,3
3713,1930,0021040,Ladies of Leisure,3
3871,1930,0021577,L'Age d&#39;Or,0
3865,1930,0021156,Morocco,1
3927,1930,0021148,Min and Bill,3
4253,1930,0020670,Be Yourself,2
6782,1930,0020668,The Bat Whispers,3
7291,1930,0021165,Murder!,3
8463,1930,0020640,Animal Crackers,3
610,1931,0022100,M,3
628,1931,0022183,M&auml;dchen in Uniform,3
636,1931,0022208,Night Nurse,3
1317,1931,0021884,Frankenstein,1
1327,1931,0020642,Anna Christie,3
1333,1931,0023196,Mata Hari,3
1633,1931,0022458,Tabu: A Story of the South Seas,0
1828,1931,0022000,Indiscreet,3
1956,1931,0022054,The Last Flight,0
1974,1931,0022251,Pardon Us,0
1985,1931,0021814,Dracula,2
2384,1931,0022158,Monkey Business,1
2705,1931,0021749,City Lights,3
4243,1931,0022074,The Smiling Lieutenant,2
5741,1931,0021735,The Cheat,3
5934,1931,0022286,The Public Enemy,3
6030,1931,0021739,La Chienne,3
6031,1931,0022599,A Nous la Liberte,1
6043,1931,0021079,Little Caesar,1
7294,1931,0022395,The Skin Game,3
7296,1931,0023395,Rich and Strange [East of Shanghai],2
8213,1931,0021815,Dracula,3
8467,1931,0021746,Cimarron,3
8557,1931,0021985,Hyppolit a lakaj,1
9095,1931,0022397,Skippy,3
9110,1931,0021730,The Champ,1
1318,1932,0023042,I Am a Fugitive from a Chain Gang,1
1328,1932,0022958,Grand Hotel,3
1983,1932,0022614,The Age of Consent,2
2383,1932,0023027,Horse Feathers,1
2550,1932,0023694,White Zombie,0
2767,1932,0022718,Boudu Saved from Drowning,1
3530,1932,0023634,"I Was Born, But...",1
3658,1932,0023238,The Most Dangerous Game,0
3659,1932,0022913,Freaks,2
3844,1932,0024188,Island of Lost Souls,1
4775,1932,0023293,The Old Dark House,3
5742,1932,0023213,Merrily We Go to Hell,3
5783,1932,0022940,The Girl from Calgary,2
5910,1932,0023649,Vampyr,3
5929,1932,0023458,Shanghai Express,3
6051,1932,0023590,Three on a Match,3
6052,1932,0023158,Love Me Tonight,2
6063,1932,0023427,Scarface,1
6092,1932,0023385,Red-Headed Woman,3
6176,1932,0023935,The Death Kiss,1
6852,1932,0023582,Thirteen Women,3
6990,1932,0022694,The Blue Light (Das Blaue Licht),1
7301,1932,0023285,Number 17,0
10705,1932,0023814,The Bitter Tea of General Yen,3
802,1933,0024028,Footlight Parade,3
1330,1933,0024481,Queen Christina,3
1248,1933,0024473,The Private Life of Henry VIII.,1
2229,1933,0024216,King Kong,0
2231,1933,0024264,Little Women,3
3188,1933,0023753,Alice in Wonderland,3
3210,1933,0024727,The Vampire Bat,3
4335,1933,0024034,42nd Street,3
5029,1933,0023932,Day of Reckoning,3
5185,1933,0023969,Duck Soup,1
5752,1933,0024679,Tomorrow at Seven,3
5916,1933,0024069,Gold Diggers of 1933,3
6056,1933,0024008,Female,3
6193,1933,0024625,A Study in Scarlet,3
6205,1933,0024432,The Peanut Vendor,0
7450,1933,0024184,The Invisible Man,1
7528,1933,0023775,Baby Face,3
8346,1933,0023940,Design for Living,1
8477,1933,0023876,Cavalcade,3
10492,1933,0024210,The Kennel Murder Case,1
10702,1933,0024548,She Done Him Wrong,2
10714,1933,0024601,Sons of the Desert,3
621,1934,0025316,It Happened One Night,3
1324,1934,0024961,The Cat&#39;s-Paw,1
1325,1934,0025746,The Scarlet Empress,3
1329,1934,0025617,The Painted Veil,1
1246,1934,0025004,The Count of Monte Cristo,1
1270,1934,0024991,Cleopatra,1
1379,1934,0025586,Of Human Bondage,1
1795,1934,0024844,L'atalante,0
1969,1934,0025423,The Lost Patrol,0
4443,1934,0025822,Spitfire,3
4702,1934,0025465,Maniac,3
5319,1934,0024831,Anne of Green Gables,3
5523,1934,0025424,Lost in the Stratosphere,2
5821,1934,0025755,Search for Beauty,3
6772,1934,0025091,Evelyn Prentice,3
7304,1934,0025452,The Man Who Knew Too Much,3
7999,1934,0025301,Imitation of Life,3
8653,1934,0025543,Mystery Liner,0
10824,1934,0025318,It's a Gift,3
595,1935,0027125,Top Hat,2
1242,1935,0026029,The 39 Steps,3
1261,1935,0026071,Anna Karenina,2
1361,1935,0026752,Mutiny on the Bounty,1
1685,1935,0026768,Naughty Marietta,3
2362,1935,0026942,Roberta,3
2756,1935,0026667,Magnificent Obsession,3
3881,1935,0026778,A Night At The Opera,1
3891,1935,0026138,The Bride of Frankenstein,3
5750,1935,0026599,The Lady in Scarlet,2
5913,1935,0026939,The Riverside Murder,2
7998,1935,0026663,Mad Love,2
596,1936,0028333,Swing Time,1
1323,1936,0027977,Modern Times,0
1237,1936,0027438,The Charge of the Light Brigade,1
1359,1936,0028216,San Francisco,1
1360,1936,0028505,Wife vs. Secretary,2
1369,1936,0028096,The Petrified Forest,3
1992,1936,0027996,Mr. Deeds Goes to Town,3
2363,1936,0027387,Born to Dance,3
2554,1936,0028174,Revolt of the Zombies,0
2699,1936,0027562,Earthworm Tractors,1
2853,1936,0028021,Osaka Elegy,3
3280,1936,0028355,Theodora Goes Wild,3
3401,1936,0027698,The Great Ziegfeld,3
3548,1936,0029207,The Mandarin Mystery,3
3560,1936,0027752,The Only Son,3
3598,1936,0028683,Camille,3
4010,1936,0028092,Pennies from Heaven,3
4069,1936,0028203,Romeo and Juliet,3
4143,1936,0027407,Bullets or Ballots,3
5852,1936,0028010,My Man Godfrey,2
5926,1936,0028212,Sabotage,3
6096,1936,0027652,Fury,2
6174,1936,0028000,Murder at Glen Athol,3
6210,1936,3427056,Il caso Valdemar,0
7227,1936,0028356,These Three,2
7308,1936,0028231,Secret Agent,3
7992,1936,0027545,Dracula's Daughter,3
597,1937,0029546,Shall We Dance,1
631,1937,0029604,Stage Door,3
795,1937,0029608,Stella Dallas,3
1332,1937,0028739,Conquest,2
1335,1937,0029682,Topper,2
1336,1937,0029162,Lost Horizon,2
1240,1937,0029442,The Prisoner of Zenda,1
1244,1937,0029087,Knight Without Armor,2
1358,1937,0029377,Parnell,2
1976,1937,0029583,Snow White and the Seven Dwarfs,3
2382,1937,0028772,A Day at the Races,2
3968,1937,0029322,Nothing Sacred,0
4255,1937,0029192,Make Way for Tomorrow,3
5617,1937,0029565,Murder at the Baskervilles (Silver Blaze),1
5740,1937,0029453,Pepe le Moko,2
6554,1937,0028597,The Awful Truth,3
7317,1937,0029811,The Girl Was Young,3
7877,1937,0029217,Marked Woman,3
8473,1937,0027552,"Bizarre, Bizarre",3
8478,1937,0029146,The Life of Emile Zola,1
10352,1937,0029751,Wee Willie Winkie,3
10838,1937,0028691,Captains Courageous,0
594,1938,0029971,Carefree,2
620,1938,0030341,The Lady Vanishes,3
994,1938,0030241,Holiday,3
1238,1938,0030044,The Dawn Patrol,0
1367,1938,0030287,Jezebel,2
1378,1938,0030755,The Sisters,2
2467,1938,0029942,Boys Town,0
2590,1938,0030473,"Mr. Wong, Detective",1
3103,1938,0029843,The Adventures of Robin Hood,2
3283,1938,0029929,Bluebeard's Eighth Wife,2
3400,1938,0029947,Bringing Up Baby,3
3951,1938,0030149,Four Daughters,3
4495,1938,0030396,The Mad Miss Manton,3
6042,1938,0030127,The Baker&#39;s Wife,1
7290,1938,0029870,Angels with Dirty Faces,1
174,1939,0032138,The Wizard of Oz,3
291,1939,0031381,Gone with the Wind,3
383,1939,0031235,Dodge City,2
588,1939,0032143,The Women,3
593,1939,0031971,Stagecoach,3
1239,1939,0032145,Wuthering Heights,2
1245,1939,0031385,"Goodbye, Mr. Chips",2
1259,1939,0031725,Ninotchka,3
1368,1939,0031516,Juarez,2
1370,1939,0031210,Dark Victory,3
1371,1939,0031826,Essex and Elizabeth,2
1382,1939,0032155,Young Mr. Lincoln,2
1383,1939,0031507,Jesse James,2
1384,1939,0031252,Drums Along the Mohawk,2
1385,1939,0031981,The Story of Alexander Graham Bell,2
1973,1939,0031322,The Flying Deuces,0
2086,1939,0031455,The Hunchback of Notre Dame,0
2372,1939,0031060,At the Circus,2
2555,1939,0031387,The Gorilla,3
2622,1939,0031680,Mr. Wong in Chinatown,1
2851,1939,0031742,Of Mice and Men,1
3089,1939,0031885,The Rules of the Game,3
3723,1939,0031066,Babes in Arms,3
5634,1939,0031225,Destry Rides Again,3
5763,1939,0031709,Nancy Drew... Reporter,3
5863,1939,0031022,The Adventures of Sherlock Holmes,3
5946,1939,0031679,Mr. Smith Goes to Washington,2
7322,1939,0031505,Jamaica Inn,3
8098,1939,0031514,Le jour se l&egrave;ve,2
8511,1939,0031397,Gulliver's Travels,0
9038,1939,0031593,Love Affair,3
10848,1939,0031398,Gunga Din,0
10880,1939,0031762,Only Angels Have Wings,2
478,1940,0032910,Pinocchio,1
618,1940,0032976,Rebecca,3
1265,1940,0033152,The Thief of Bagdad,0
1501,1940,0032811,The Mortal Storm,3
1355,1940,0032349,Comrade X,2
1356,1940,0032273,Boom Town,1
1357,1940,0033105,Strange Cargo,0
1366,1940,0032983,The Return of Frank James,0
1373,1940,0032194,"All This, and Heaven Too",2
1380,1940,0032701,The Letter,2
1387,1940,0032551,The Grapes of Wrath,3
1975,1940,0032339,A Chump at Oxford,0
2556,1940,0032215,The Ape,3
2678,1940,0033021,Santa Fe Trail,1
3033,1940,0032599,His Girl Friday,3
3050,1940,0033028,The Sea Hawk,3
3470,1940,0032553,The Great Dictator,3
4257,1940,0032943,Pride and Prejudice,3
4354,1940,0032946,Primrose Path,3
4363,1940,0032406,Chamber of Horrors / Door with the Seven Locks,2
4415,1940,0032376,"Dance, Girl, Dance",3
4943,1940,0032904,The Philadelphia Story,3
5039,1940,0032455,Fantasia,0
5320,1940,0032211,Anne Of Windy Poplars,3
5773,1940,0031359,Gaslight,3
5802,1940,0032690,The Last Alarm,3
7311,1940,0032484,Foreign Correspondent,1
7861,1940,0033045,The Shop Around the Corner,3
8480,1940,0032676,Knute Rockne All American,1
1331,1941,0034328,Two-Faced Woman,2
1512,1941,0034175,The Shanghai Gesture,3
1230,1941,0033870,The Maltese Falcon,1
1266,1941,0033467,Citizen Kane,1
1117,1941,0033563,Dumbo,2
1372,1941,0033836,The Little Foxes,2
1386,1941,0033804,The Lady Eve,2
1682,1941,0033533,The Devil and Miss Jones,3
1941,1941,0033727,Mr. Bug Goes to Town,1
2410,1941,0033717,High Sierra,1
2436,1941,0034398,The Wolf Man,2
2446,1941,0033459,Cheers for Miss Bishop,3
2468,1941,0033902,Men of Boys Town,1
2867,1941,0033627,49th Parallel,0
2906,1941,0033436,Buck Privates,3
2910,1941,0033723,Hold That Ghost,3
3717,1941,0033891,Meet John Doe,3
4359,1941,0034240,Sullivan's Travels,3
6171,1941,0033928,Murder by Invitation,3
6318,1941,0033802,Ladies In Retirement,1
7329,1941,0034248,Suspicion,3
8625,1941,0034241,Sun valley serenade,0
8983,1941,0033729,How Green Was My Valley,3
9025,1941,0034091,The Reluctant Dragon,3
9192,1941,0033787,King of the Zombies,3
10347,1941,0033373,Ball of Fire,2
681,1942,0035019,The Major and the Minor,3
689,1942,0035140,"Now, Voyager",3
1076,1942,0034583,Casablanca,1
1289,1942,0035015,The Magnificent Ambersons,2
1116,1942,0034492,Bambi,1
1388,1942,0035360,Son of Fury: The Story of Benjamin Blake,1
1675,1942,0034746,For Me and My Gal,3
1686,1942,0034882,I Married an Angel,3
2708,1942,0034587,Cat People,3
3518,1942,0034521,Black Dragons,0
3789,1942,0034591,There Was a Father,0
3875,1942,0035415,Tales of Manhattan,2
4475,1942,0033874,The Man Who Came to Dinner,3
4870,1942,0035567,Woman of the Year,3
5303,1942,0035446,To Be or Not to Be,0
5859,1942,0035317,Sherlock Holmes and the Secret Weapon,1
5938,1942,0035279,Saboteur,1
5939,1942,0035279,Saboteur,1
6384,1942,0035093,Mrs. Miniver,3
7696,1942,0036326,Saludos Amigos,0
7697,1942,0034613,The Corpse Vanishes,1
10343,1942,0034770,The Gay Sisters,3
1374,1943,0036230,Old Acquaintance,3
1375,1943,0036515,Watch on the Rhine,3
1691,1943,0035942,Girl Crazy,1
1955,1943,0036027,I Walked with a Zombie,3
1959,1943,0036363,The Sky&#39;s the Limit,1
1987,1943,0036323,Sahara,0
1988,1943,0035957,Guadalcanal Diary,0
2407,1943,0036418,Tender Comrade,3
3753,1943,0036506,Day of Wrath,3
3839,1943,0036112,The Life and Death of Colonel Blimp,2
3890,1943,0035753,Le Corbeau: The Raven,3
4617,1943,0036342,Shadow of a Doubt,3
4699,1943,0036400,Judo Saga (Sanshiro Sugata),0
5209,1943,0035770,Cry 'Havoc&#39;,3
5554,1943,0035881,Fires Were Started,0
6310,1943,0036244,The Ox-Bow Incident,1
6315,1943,0036367,So Proudly We Hail!,3
6781,1943,0036969,Jane Eyre,3
7410,1943,0036172,The More the Merrier,1
7475,1943,0035017,La main du diable,1
7834,1943,0035636,Angels of Sin,3
8090,1943,0036341,The Seventh Victim,3
8501,1943,0035735,China,3
8801,1943,0035160,Ossessione,1
10283,1943,0036160,Millions Like Us,3
10778,1943,0035979,Heaven Can Wait,3
201,1944,0036613,Arsenic and Old Lace,3
1416,1944,0036775,Double Indemnity,3
1376,1944,0037094,Mr. Skeffington,2
1676,1944,0037059,Meet Me in St. Louis,3
1683,1944,0036891,Hail the Conquering Hero,2
2045,1944,0036914,Torment,0
2181,1944,0037469,Window in the Window,1
2715,1944,0037008,Laura,3
3134,1944,0036723,Cover Girl,3
3154,1944,0037280,Since You Went Away,3
3245,1944,0037382,To Have and Have Not,3
3279,1944,0036940,I'll Be Seeing You,3
4222,1944,0037120,National Velvet,3
4698,1944,0036947,The Most Beautiful (Ichiban utsukushiku),3
5983,1944,0037017,Lifeboat,3
6319,1944,0038166,The Three Caballeros,0
6420,1944,0037076,Minstrel Man,1
6515,1944,0036695,A Canterbury Tale,3
9270,1944,0037415,The Uninvited,3
9718,1944,0036818,Die Feuerzangenbowle,1
794,1945,0037913,Mildred Pierce,3
1213,1945,0037800,I Know Where I'm Going,3
1280,1945,0038924,The Seventh Veil,3
1544,1945,0037558,Brief Encounter,3
1639,1945,0037508,Along Came Jones,0
2004,1945,0037820,Isle of the Dead,3
2434,1945,0037671,The Enchanted Cottage,3
3271,1945,0037954,"Objective, Burma!",0
3583,1945,0037884,The Lost Weekend,2
3999,1945,0037638,Detour,1
4252,1945,0038109,Spellbound,3
4428,1945,0038890,"Rome, Open City",3
5081,1945,0038057,Scarlet Street,3
5129,1945,0037674,Children of Paradise,2
5677,1945,0037843,Keep Your Powder Dry,3
5856,1945,0038259,The Woman in Green,3
6017,1945,0037514,Anchors Aweigh,0
6848,1945,0037365,Thin Man Goes Home,2
6945,1945,0038017,The Red Dragon,1
7185,1945,0037635,Dead of Night,3
7835,1945,0037630,Les dames du Bois de Boulogne,3
9005,1945,0038250,The Wicked Lady,3
10235,1945,0037865,Leave Her to Heaven,3
10345,1945,0037614,The Corn Is Green,3
10666,1945,0037536,The Bells of St Mary&#39;s,3
622,1946,0038787,Notorious,2
786,1946,0038589,The Harvey Girls,3
971,1946,0038355,The Big Sleep,1
1424,1946,0038854,The Postman Always Rings Twice,1
1231,1946,0038733,Stairway to Heaven,0
1268,1946,0038348,Beauty and the Beast,3
1377,1946,0038461,Deception,0
1381,1946,0038474,Devotion,3
1680,1946,0039054,Two Sisters from Boston,3
2235,1946,0038650,It's a Wonderful Life,3
2654,1946,0038661,The Jolson Story,1
2809,1946,0038559,Gilda,0
3145,1946,0038990,The Strange Woman,3
3783,1946,0038762,My Darling Clementine,1
3982,1946,0036868,The Best Years of Our Lives,2
4002,1946,0038494,Dressed to Kill,3
4900,1946,0038499,Duel in the sun,2
5497,1946,0038409,The Chase,1
5646,1946,0038969,Song of the South,2
5872,1946,0039017,Terror by Night,1
5961,1946,0038453,The Dark Corner,1
7671,1946,0038991,The Stranger,3
8052,1946,0038718,Make Mine Music,1
8354,1946,0039112,The Years Between,3
9182,1946,0038574,Great Expectations,2
10597,1946,0038934,She-Wolf of London,3
1211,1947,0039192,Black Narcissus,3
1235,1947,0039360,The Exile,1
1278,1947,0039677,Odd Man Out,2
1679,1947,0039431,Good News,2
1681,1947,0039819,The Shocking Miss Pilgrim,3
2287,1947,0039349,The Egg and I,3
2330,1947,0039694,The Paradine Case,2
3047,1947,0039420,The Ghost and Mrs. Muir,3
3112,1947,0039441,Gunfighters,2
4411,1947,0039286,Crossfire,2
5779,1947,0039236,Calendar Girl,2
6550,1947,0039689,Build My Gallows High,2
7432,1947,0039650,Nada,3
8053,1947,0039404,Fun &amp; Fancy Free,1
8619,1947,0039204,Body and Soul,3
8646,1947,0039324,Dishonored Lady,3
8729,1947,0039938,The Unfinished Dance,3
8756,1947,0040525,The Lady from Shanghai,0
8989,1947,0039628,Miracle on 34th Street,3
